LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0703DER0139A,De Ruyter Reservoir,09/08/2008,BS,NA,NA,NA,NA,NA,NA,NA,0.0087,NA,21,NA
0703DER0139A,De Ruyter Reservoir,09/27/2004,BS,0.005,NA,NA,NA,0.4242,NA,NA,0.0087,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,06/12/2005,OW,0.005,25.2,5.3,NA,0.138,NA,7.08,0.0088,127.4,26,26
0703DER0139A,De Ruyter Reservoir,06/18/2017,BS,0.061,NA,NA,NA,NA,NA,NA,0.0089,NA,21,NA
0703DER0139A,De Ruyter Reservoir,07/18/2010,OW,0.02,NA,1.7,NA,0.364,NA,7.24,0.0089,174,26.5,12
0703DER0139A,De Ruyter Reservoir,09/20/2009,BS,0.0055,NA,NA,NA,NA,NA,NA,0.0089,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,06/05/1994,OW,NA,NA,3.72,NA,NA,NA,8.24,0.009,168,18.5,4
0703DER0139A,De Ruyter Reservoir,06/17/2001,OW,NA,NA,5.45,NA,NA,NA,8.36,0.009,192,23,2
0703DER0139A,De Ruyter Reservoir,06/24/1990,OW,NA,NA,5.44,NA,NA,NA,7.43,0.009,186,20,5
0703DER0139A,De Ruyter Reservoir,07/01/1989,OW,NA,NA,3.57,NA,NA,NA,8.18,0.009,180,22,7
0703DER0139A,De Ruyter Reservoir,07/03/1995,OW,NA,NA,2.76,NA,NA,NA,8.15,0.009,186,23,5
0703DER0139A,De Ruyter Reservoir,07/08/1990,OW,NA,NA,5.44,NA,NA,NA,8.22,0.009,178,20,3
0703DER0139A,De Ruyter Reservoir,07/16/1995,OW,NA,NA,4.44,NA,NA,NA,8.32,0.009,186,25,5
0703DER0139A,De Ruyter Reservoir,07/17/1988,OW,NA,NA,4.07,NA,NA,NA,8.3,0.009,176,23,3
0703DER0139A,De Ruyter Reservoir,07/18/1993,OW,NA,NA,6.04,NA,NA,NA,8.24,0.009,171,24,2
0703DER0139A,De Ruyter Reservoir,07/22/1990,OW,NA,NA,4.47,NA,NA,NA,NA,0.009,NA,24,4
0703DER0139A,De Ruyter Reservoir,07/25/1999,OW,NA,NA,2.99,NA,NA,NA,8.38,0.009,181,25.5,6
0703DER0139A,De Ruyter Reservoir,08/02/1997,OW,NA,NA,6.44,NA,NA,NA,7.17,0.009,179,23,5
0703DER0139A,De Ruyter Reservoir,08/01/2018,OW,0.013,NA,3.6,NA,0.4195,0.382,7.66,0.00905,140.5,26,2
0703DER0139A,De Ruyter Reservoir,08/12/2018,BS,0.01,NA,NA,NA,NA,NA,NA,0.00905,NA,25,NA
0703DER0139A,De Ruyter Reservoir,06/27/2004,OW,0.014,NA,1.4,NA,0.1495,NA,6.75,0.0091,149,21.5,19
0703DER0139A,De Ruyter Reservoir,06/09/2008,OW,0.01981,23.08,1.66,NA,0.281571,NA,NA,0.0092,NA,25,10
0703DER0139A,De Ruyter Reservoir,07/07/2013,OW,0.026,NA,2,NA,0.355,NA,7.66,0.0092,157.3,28.5,13
0703DER0139A,De Ruyter Reservoir,08/16/2010,OW,0.013,23.5,1.9,NA,0.272,NA,7.93,0.0093,159.8,25,9
0703DER0139A,De Ruyter Reservoir,06/13/2004,OW,0.0265,28.7,0.2,NA,0.3652,NA,6.63,0.0094,176,21,16
0703DER0139A,De Ruyter Reservoir,07/06/2014,OW,0.038,NA,1.7,NA,0.334,NA,7.48,0.0094,161.2,24.5,4
0703DER0139A,De Ruyter Reservoir,08/30/2010,OW,0.025,NA,2.1,NA,0.24,NA,7.37,0.0094,171.9,23,11
0703DER0139A,De Ruyter Reservoir,09/24/2010,OW,0.022,NA,1,NA,0.292,NA,7.21,0.0094,168.3,19,7
0703DER0139A,De Ruyter Reservoir,06/12/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.0095,NA,20,NA
0703DER0139A,De Ruyter Reservoir,07/10/2005,OW,0.014,NA,2.6,NA,0.113,NA,6.98,0.0095,170.4,25,1.5
0703DER0139A,De Ruyter Reservoir,08/01/2018,BS,0.042,NA,NA,NA,NA,NA,NA,0.0095,NA,25,NA
0703DER0139A,De Ruyter Reservoir,08/03/2009,BS,NA,NA,NA,NA,NA,NA,NA,0.0095,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,07/14/2002,OW,0.054,NA,NA,NA,0.488,NA,8.34,0.0096,185,24,3
0703DER0139A,De Ruyter Reservoir,07/14/2002,BS,0.131,NA,NA,NA,0.362,NA,NA,0.0096,NA,18,NA
0703DER0139A,De Ruyter Reservoir,08/11/2002,OW,0.038,NA,NA,NA,0.34,NA,8.21,0.0096,174,25,5
0703DER0139A,De Ruyter Reservoir,09/13/2010,OW,0.026,NA,1.4,NA,0.221,NA,7.4,0.0096,181.9,20,7
0703DER0139A,De Ruyter Reservoir,10/07/2007,OW,0.01419,NA,1.82,NA,0.53597,NA,7.37,0.0096,165.3,20,20
0703DER0139A,De Ruyter Reservoir,09/30/2018,BS,0.023,NA,NA,NA,NA,NA,NA,0.00965,NA,18,NA
0703DER0139A,De Ruyter Reservoir,06/29/2008,OW,0.01468,NA,1.04,NA,0.260583,NA,7.78,0.0097,157.7,24,11
0703DER0139A,De Ruyter Reservoir,09/14/2014,OW,0,NA,0.9,NA,0.262,NA,7.35,0.0098,145.4,19,7
0703DER0139A,De Ruyter Reservoir,08/25/2002,OW,0.033,NA,NA,NA,0.289,NA,8.26,0.00988,171,24,1.5
0703DER0139A,De Ruyter Reservoir,07/09/2006,BS,NA,NA,NA,NA,NA,NA,NA,0.0099,NA,18,NA
0703DER0139A,De Ruyter Reservoir,07/18/2010,BS,0.062,NA,NA,NA,NA,NA,NA,0.0099,NA,24,NA
0703DER0139A,De Ruyter Reservoir,08/30/2009,OW,0.019,NA,1.5,NA,0.191,NA,7.17,0.0099,138.7,23,13
0703DER0139A,De Ruyter Reservoir,09/06/2004,OW,0.005,NA,3.7,NA,0.2597,NA,7.8,0.0099,117,24,7
0703DER0139A,De Ruyter Reservoir,09/16/2018,OW,0.016,NA,12.3,NA,0.3595,0.337,7.5,0.00995,147.2,25,5
0703DER0139A,De Ruyter Reservoir,06/03/1998,BS,NA,NA,NA,NA,NA,NA,NA,0.01,NA,14,NA
0703DER0139A,De Ruyter Reservoir,06/03/2000,OW,NA,NA,5.8,NA,NA,NA,8.01,0.01,185,18,3
0703DER0139A,De Ruyter Reservoir,06/13/1999,OW,NA,NA,7.1,NA,NA,NA,7.83,0.01,188,23,6
0703DER0139A,De Ruyter Reservoir,06/18/1988,OW,NA,NA,26.6,NA,NA,NA,8.1,0.01,168,20,6
0703DER0139A,De Ruyter Reservoir,06/30/1996,OW,NA,NA,2.2,NA,NA,NA,8.03,0.01,183,22,1
0703DER0139A,De Ruyter Reservoir,07/03/1994,OW,NA,NA,3.81,NA,NA,NA,8.13,0.01,167,23,1
0703DER0139A,De Ruyter Reservoir,07/05/1993,OW,NA,NA,4.93,NA,NA,NA,8.17,0.01,171,24,1
0703DER0139A,De Ruyter Reservoir,07/06/1997,OW,NA,NA,6.34,NA,NA,NA,8.09,0.01,179,22,5
0703DER0139A,De Ruyter Reservoir,07/08/1989,OW,NA,NA,3.03,NA,NA,NA,7.5,0.01,179,22,5
0703DER0139A,De Ruyter Reservoir,07/17/1994,OW,NA,NA,14.4,NA,NA,NA,8.53,0.01,167,24.5,2
0703DER0139A,De Ruyter Reservoir,07/20/1997,OW,NA,NA,6.39,NA,NA,NA,8.08,0.01,177,23,5
0703DER0139A,De Ruyter Reservoir,07/20/1997,BS,NA,NA,NA,NA,NA,NA,NA,0.01,NA,15.5,NA
0703DER0139A,De Ruyter Reservoir,07/23/2006,BS,NA,NA,NA,NA,NA,NA,NA,0.01,NA,18,NA
0703DER0139A,De Ruyter Reservoir,07/29/2001,OW,NA,NA,4.78,NA,NA,NA,7.62,0.01,193,24,5
0703DER0139A,De Ruyter Reservoir,07/30/1988,OW,NA,NA,2.29,NA,NA,NA,8.37,0.01,169,24,1
0703DER0139A,De Ruyter Reservoir,07/31/1994,OW,NA,NA,6.68,NA,NA,NA,8.32,0.01,167,24.5,2
0703DER0139A,De Ruyter Reservoir,08/13/1989,OW,NA,NA,5.07,NA,NA,NA,7.67,0.01,182,23,5
0703DER0139A,De Ruyter Reservoir,08/13/1995,OW,NA,NA,4.38,NA,NA,NA,8.16,0.01,184,20,1
0703DER0139A,De Ruyter Reservoir,08/15/1993,OW,NA,NA,7.31,NA,NA,NA,8.02,0.01,168,23,3
0703DER0139A,De Ruyter Reservoir,08/24/1999,OW,NA,NA,4.4,NA,NA,NA,8.11,0.01,173,22.5,4
0703DER0139A,De Ruyter Reservoir,08/25/1996,OW,NA,NA,6.1,NA,NA,NA,8.35,0.01,176,23.5,5
0703DER0139A,De Ruyter Reservoir,08/27/1989,BS,NA,NA,NA,NA,NA,NA,8.17,0.01,177,21,5
0703DER0139A,De Ruyter Reservoir,09/08/2008,OW,0.01184,NA,1.83,NA,0.195185,NA,7.65,0.01,132.9,22,13
0703DER0139A,De Ruyter Reservoir,09/10/2000,OW,NA,NA,3.79,NA,NA,NA,7.96,0.01,184,21.5,6
0703DER0139A,De Ruyter Reservoir,09/16/1990,OW,NA,NA,5.97,NA,NA,NA,8.27,0.01,174,17,4
0703DER0139A,De Ruyter Reservoir,09/24/1995,OW,NA,NA,4.44,NA,NA,NA,8.13,0.01,180,16.5,1
0703DER0139A,De Ruyter Reservoir,09/30/1990,OW,NA,NA,5.31,NA,NA,NA,8.25,0.01,172,15,7
0703DER0139A,De Ruyter Reservoir,08/22/2004,OW,0.005,NA,2.9,NA,0.3512,NA,7.52,0.0101,167,23,37
0703DER0139A,De Ruyter Reservoir,07/09/2017,OW,0.089,NA,2,NA,0.37,NA,6.84,0.0102,142.7,24,5
0703DER0139A,De Ruyter Reservoir,06/21/2010,OW,0.023,26.6,1.8,NA,0.859,NA,7.42,0.0103,183.3,22.5,4
0703DER0139A,De Ruyter Reservoir,08/21/2005,OW,0.045,NA,2.7,NA,0.334,NA,7.48,0.0103,152.7,25,18
0703DER0139A,De Ruyter Reservoir,06/16/2014,OW,0.064,NA,2.3,NA,0.44,NA,7.5,0.0104,163.3,23,6
0703DER0139A,De Ruyter Reservoir,07/05/2010,OW,0.019,NA,1.6,NA,0.158,NA,7.31,0.0104,180.9,24.5,3
0703DER0139A,De Ruyter Reservoir,06/09/2008,BS,NA,NA,NA,NA,NA,NA,NA,0.0105,NA,18,NA
0703DER0139A,De Ruyter Reservoir,07/09/2006,OW,0.006,NA,4.24,NA,0.51296,NA,7.51,0.0105,165.8,24,13
0703DER0139A,De Ruyter Reservoir,07/14/2003,BS,0.1203,NA,NA,NA,0.1875,NA,NA,0.0105,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,09/25/2016,OW,NA,NA,2,NA,0.187,NA,7.69,0.0105,145.4,22,14
0703DER0139A,De Ruyter Reservoir,06/30/2002,OW,0.038,NA,2.2,NA,0.377,NA,8.38,0.01055,189,24,6
0703DER0139A,De Ruyter Reservoir,07/09/2017,BS,0.136,NA,NA,NA,NA,NA,NA,0.0106,NA,19,NA
0703DER0139A,De Ruyter Reservoir,07/29/2002,BS,0.076,NA,NA,NA,0.44,NA,NA,0.0106,NA,18,NA
0703DER0139A,De Ruyter Reservoir,08/09/2004,OW,0.0109,23.4,3,NA,0.0828,NA,7.5,0.0106,161,24,17
0703DER0139A,De Ruyter Reservoir,08/12/2007,BS,NA,NA,NA,NA,NA,NA,NA,0.0106,NA,22,NA
0703DER0139A,De Ruyter Reservoir,07/06/2016,OW,0.038,NA,1,NA,0.175,NA,7.13,0.0107,147.3,25,17
0703DER0139A,De Ruyter Reservoir,09/13/2010,BS,0.027,NA,NA,NA,NA,NA,NA,0.0107,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,09/16/2017,OW,0.015,NA,2.4,NA,0.268,NA,7.19,0.0107,136.9,22,5
0703DER0139A,De Ruyter Reservoir,06/02/2002,BS,0.042,NA,NA,NA,0.445,NA,NA,0.01072,NA,13,NA
0703DER0139A,De Ruyter Reservoir,07/08/2012,OW,0.018,NA,2.1,NA,0.238,NA,7.29,0.0108,154.1,27,12
0703DER0139A,De Ruyter Reservoir,07/11/2004,BS,0.005,NA,NA,NA,0.2542,NA,NA,0.0108,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,09/20/2008,OW,0.01083,NA,1.67,NA,0.148132,NA,7.39,0.0108,139.2,20,14
0703DER0139A,De Ruyter Reservoir,07/12/2009,BS,0.36632,NA,NA,NA,NA,NA,NA,0.0109,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,08/12/2007,OW,0.08455,NA,2.98,NA,0.44179,NA,7.87,0.0109,79.89,27,21
0703DER0139A,De Ruyter Reservoir,09/18/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.0109,NA,22,NA
0703DER0139A,De Ruyter Reservoir,10/07/2007,BS,NA,NA,NA,NA,NA,NA,NA,0.0109,NA,19,NA
0703DER0139A,De Ruyter Reservoir,06/16/1996,BS,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA
