LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0602EAT0163,Eaton Brook Reservoir,06/22/2015,OW,0.057,NA,1.1,NA,0.479,NA,7.46,0.0076,163,23,3
0602EAT0163,Eaton Brook Reservoir,06/22/2015,BS,0.079,NA,NA,NA,NA,NA,NA,0.0336,NA,17,NA
0602EAT0163,Eaton Brook Reservoir,06/23/1997,OW,NA,NA,2.71,NA,NA,NA,8.02,0.005,166,20,5
0602EAT0163,Eaton Brook Reservoir,06/23/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/24/2012,OW,0.041,NA,0.9,NA,0.214,NA,7.39,0.0091,113.5,24,16
0602EAT0163,Eaton Brook Reservoir,06/24/2012,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/26/2000,OW,NA,NA,1.53,NA,NA,NA,8.1,0.004,157,20,7
0602EAT0163,Eaton Brook Reservoir,06/26/2000,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/27/2017,OW,0.052,NA,2.7,NA,0.435,NA,6.52,0.0109,133,24,5
0602EAT0163,Eaton Brook Reservoir,06/27/2017,BS,0.059,NA,NA,NA,NA,NA,NA,0.0092,NA,20,NA
0602EAT0163,Eaton Brook Reservoir,06/29/1992,OW,NA,NA,2.65,NA,NA,NA,8.11,0.008,172,20,3
0602EAT0163,Eaton Brook Reservoir,06/29/1992,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/29/1994,OW,NA,NA,2.67,NA,NA,NA,8.12,0.009,152,21,3
0602EAT0163,Eaton Brook Reservoir,06/29/1994,BS,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/29/1998,OW,NA,NA,1.54,NA,NA,NA,8.05,NA,158,21,2
0602EAT0163,Eaton Brook Reservoir,06/29/1998,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/30/2013,OW,0,NA,0.8,NA,0.289058,NA,7.09,0.008,151.7,23,15
0602EAT0163,Eaton Brook Reservoir,06/30/2013,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/01/1996,OW,NA,NA,2.8,NA,NA,NA,8.13,0.008,162,21.5,5
0602EAT0163,Eaton Brook Reservoir,07/01/1996,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,07/01/2018,OW,0.032,NA,2.5,NA,0.436,0.438,8,0.00675,151.3,26,6
0602EAT0163,Eaton Brook Reservoir,07/01/2018,BS,0.193,NA,NA,NA,NA,NA,NA,0.0064,NA,14,NA
0602EAT0163,Eaton Brook Reservoir,07/02/2011,OW,0.033,NA,0.5,NA,0.196,NA,7.75,0.0095,142.7,22,15
0602EAT0163,Eaton Brook Reservoir,07/02/2011,BS,0.044,NA,NA,NA,NA,NA,NA,0.0081,NA,12.5,NA
