"","Lake_Name","variable","Mean","Median","Min","Max","SD"
"70","Glen Lake","Secchi_Depth",4.07954545454545,4,2.6,6,0.865106404385663
"71","Glen Lake","TP",8.10909090909091,7.5,4.3,16,2.41293203692088
"72","Glen Lake","Extracted_Chl.a",2.59767441860465,1.8,0.6,13.3,2.51608997228154
"73","Grass Lake","Secchi_Depth",3.22424242424242,3.05,2.05,5.4,0.831895539953148
"74","Grass Lake","TP",16.0774193548387,15.5,0,34,5.4548272002829
"75","Grass Lake","Extracted_Chl.a",2.63428571428571,1.3,0.05,12.9,3.21501009577985
"76","Guilford Lake","Secchi_Depth",3.11413043478261,3.175,1,5.8,1.29883122859996
"77","Guilford Lake","TP",22.9282608695652,14.95,8.4,99.2,20.9236990891878
"78","Guilford Lake","Extracted_Chl.a",6.63222222222222,3.6,0.05,24.6,6.73649453245964
"79","Hadlock Pond","Secchi_Depth",4.791875,4.725,3.25,8.35,1.0187723176728
"80","Hadlock Pond","TP",7.725,7.35,4.8,12.2,1.75129988352974
"81","Hadlock Pond","Extracted_Chl.a",2.7925,2.35,0.9,6,1.18999838396787
"82","Hatch Lake","Secchi_Depth",5.03076923076923,4.8,2.4,8.05,1.29546858950604
"83","Hatch Lake","TP",12.0575,12.35,5.6,16,2.3474904767563
"84","Hatch Lake","Extracted_Chl.a",2.915,2.7,0.6,10.3,1.77005722057299
"85","Hunt Lake","Secchi_Depth",3.685,3.75,2.5,6,0.729875296689749
"86","Hunt Lake","TP",9.79473684210526,7.3,4.6,42.5,8.12297200864318
"87","Hunt Lake","Extracted_Chl.a",2.44210526315789,2.2,1,5.6,0.902738050942907
"88","Indian Lake","Secchi_Depth",6.35588235294118,6.65,3.55,7.2,0.888271205935506
"89","Indian Lake","TP",9.56111111111111,9.35,6.4,14.3,2.08753693560529
"90","Indian Lake","Extracted_Chl.a",0.870588235294118,0.9,0.1,2,0.470059445552306
"91","Jenny Lake","Secchi_Depth",3.74283783783784,3.65,2.3,6.55,0.924088545345975
"92","Jenny Lake","TP",6.9974358974359,6.6,4.9,11,1.63296423712526
"93","Jenny Lake","Extracted_Chl.a",3.2,2.8,0.3,13.9,2.17913942845534
"94","Kasoag Lake","Secchi_Depth",3.79102564102564,3.7,2.8,4.9,0.480524904178506
"95","Kasoag Lake","TP",13.2820512820513,12.8,6,33.1,4.69293263686397
"96","Kasoag Lake","Extracted_Chl.a",5.38684210526316,2.6,0.2,63.2,10.3917891457665
"97","Lake Anawanda","Secchi_Depth",5.93833333333333,6,3.1,13.6,1.67012179740934
"98","Lake Anawanda","TP",6.92173913043478,6.25,4,16.1,2.28676511386507
"99","Lake Anawanda","Extracted_Chl.a",1.99130434782609,1.5,0.6,6.7,1.56657107324763
"100","Lake Bonaparte","Secchi_Depth",4.36222222222222,4.4,3.25,5.8,0.635337737273681
"101","Lake Bonaparte","TP",9.45531914893617,7.7,5.7,52.7,7.05927722961957
"102","Lake Bonaparte","Extracted_Chl.a",2.03404255319149,1.9,0.1,5.2,0.957187137158229
"103","Lake Devenoge","Secchi_Depth",3.70769230769231,3.55,2.9,4.9,0.594927274159171
"104","Lake Devenoge","TP",8.3,8.65,3.4,12.5,1.75223994577975
"105","Lake Devenoge","Extracted_Chl.a",2.93333333333333,2.5,0.5,7.2,1.76426859580987
"106","Lake Forest","Secchi_Depth",3.33525641025641,3.25,2.15,4.7,0.711413482476915
"107","Lake Forest","TP",13.0102564102564,8.5,4.9,55,11.3368935425751
"108","Lake Forest","Extracted_Chl.a",5.12051282051282,4,1.5,42.7,6.43465860081495
"109","Lake of the Woods","Secchi_Depth",5.49791666666667,5.4,4.05,7.2,0.806020709447326
"110","Lake of the Woods","TP",7.84583333333333,7.25,5.1,20.4,3.10763144346394
"111","Lake of the Woods","Extracted_Chl.a",1.07083333333333,1.1,0.1,2,0.492093280894435
"112","Lake Petonia","Secchi_Depth",5.0825,5.35,2.15,7.65,1.21161457721543
"113","Lake Petonia","TP",9.36382978723404,8.8,4.2,19.9,2.89935716502775
"114","Lake Petonia","Extracted_Chl.a",1.8304347826087,1.45,0.2,8.4,1.38176530652598
"115","Lake Placid","Secchi_Depth",7.70707317073171,7.4,5.13,10.65,1.30641588688755
"116","Lake Placid","TP",4.544,4.2,3,11.5,1.50090584892822
"117","Lake Placid","Extracted_Chl.a",1.86595744680851,1.6,0.6,6.3,0.980522619242164
"118","Lake Pleasant","Secchi_Depth",4.54565217391304,4.6,3.6,5.75,0.529131587749352
"119","Lake Pleasant","TP",7.0125,6.95,5.2,9.3,1.21737868782282
"120","Lake Pleasant","Extracted_Chl.a",2.50833333333333,2.3,0.8,8,1.34549705270602
"121","Lake Sunnyside","Secchi_Depth",6.14525641025641,6.3,4.3,7.28,0.799712077067633
"122","Lake Sunnyside","TP",12.9025641025641,12,8.1,23.2,3.50507055109468
"123","Lake Sunnyside","Extracted_Chl.a",2.16315789473684,1.45,0.3,13.2,2.33405123413875
"124","Lincoln Pond","Secchi_Depth",4.18833333333333,4.175,2.8,5.65,0.719875867332567
"125","Lincoln Pond","TP",7.45333333333333,6.65,4.8,19.8,3.14530118434306
"126","Lincoln Pond","Extracted_Chl.a",1.85333333333333,1.75,0.8,4.7,0.804184458739511
"127","Little Long Pond","Secchi_Depth",3.02127659574468,3.1,1.25,4.35,0.712028232895531
"128","Little Long Pond","TP",31.9021276595745,19.3,10.6,215.9,42.54658566673
"129","Little Long Pond","Extracted_Chl.a",1.98914893617021,1.6,0.3,9.1,1.55026341350393
"130","Loon Lake","Secchi_Depth",4.065625,4,2.25,5.3,0.779255788129503
"131","Loon Lake","TP",12.1666666666667,11.5,7,18.1,2.74822736017026
"132","Loon Lake","Extracted_Chl.a",2.61666666666667,1.15,0.05,13.5,3.22644193132805
"133","Lorton Lake","Secchi_Depth",1.939375,2.1,1.1,2.7,0.422658158982929
"134","Lorton Lake","TP",19.9230769230769,16.6,12.5,77.2,10.8740023508139
