Lake_Name,Sample_Year,Dreissenids,Years_Invaded
Hatch Lake,2017,1,5
Tuscarora Lake,1986,0,NA
Tuscarora Lake,1988,0,NA
Tuscarora Lake,1989,0,NA
Tuscarora Lake,1990,0,NA
Tuscarora Lake,1991,0,NA
Tuscarora Lake,1992,0,NA
Tuscarora Lake,1993,0,NA
Tuscarora Lake,1994,0,NA
Tuscarora Lake,1995,0,NA
Tuscarora Lake,1996,0,NA
Tuscarora Lake,1997,0,NA
Tuscarora Lake,1998,0,NA
Tuscarora Lake,1999,0,NA
Tuscarora Lake,2000,0,NA
Tuscarora Lake,2001,0,NA
Tuscarora Lake,2002,0,NA
Tuscarora Lake,2003,0,NA
Tuscarora Lake,2004,0,NA
Tuscarora Lake,2005,0,NA
Tuscarora Lake,2006,0,NA
Tuscarora Lake,2007,0,NA
Tuscarora Lake,2008,0,NA
Tuscarora Lake,2009,0,NA
Tuscarora Lake,2010,1,1
Tuscarora Lake,2011,1,2
Tuscarora Lake,2012,1,3
Tuscarora Lake,2013,1,4
Tuscarora Lake,2014,1,5
Tuscarora Lake,2015,1,6
Tuscarora Lake,2016,1,7
Tuscarora Lake,2017,1,8
Upper Little York Lake,1986,0,NA
Upper Little York Lake,1988,0,NA
Upper Little York Lake,1989,0,NA
Upper Little York Lake,1990,0,NA
Upper Little York Lake,1991,0,NA
Upper Little York Lake,1992,0,NA
Upper Little York Lake,1993,0,NA
Upper Little York Lake,1994,0,NA
Upper Little York Lake,1995,0,NA
Upper Little York Lake,1996,0,NA
Upper Little York Lake,1997,0,NA
Upper Little York Lake,1998,0,NA
Upper Little York Lake,1999,0,NA
Upper Little York Lake,2000,0,NA
Upper Little York Lake,2001,0,NA
Upper Little York Lake,2002,0,NA
Upper Little York Lake,2003,0,NA
Upper Little York Lake,2004,0,NA
Upper Little York Lake,2005,0,NA
Upper Little York Lake,2006,0,NA
Upper Little York Lake,2007,0,NA
Upper Little York Lake,2008,0,NA
Upper Little York Lake,2009,0,NA
Upper Little York Lake,2010,0,NA
Upper Little York Lake,2011,0,NA
Upper Little York Lake,2012,0,NA
Upper Little York Lake,2013,1,1
Upper Little York Lake,2014,1,2
Upper Little York Lake,2015,1,3
Upper Little York Lake,2016,1,4
Upper Little York Lake,2017,1,5
